Question,Answer,Answer Type,Reasoning Type,id
How many letters are there between the first and last letters of the first name of the director of a 2004 film where Kam Heskin plays Paige Morgan in?,4,number,"Commonsense, Arithmetic",5ae789615542997ec2727695_12
Kam Heskin plays Paige Morgan in a 2004 film directed by who?,Martha Coolidge,person,Original,5ae789615542997ec2727695_12
How many letters are there between the first and last letters of the first name of the person who designed and built the park which links Salisbury Woodland Gardens with a zoo?,4,number,"Commonsense, Arithmetic",5ae6828f5542996d980e7bb9_12
Salisbury Woodland Gardens links a zoo with a park designed and built under the watchful eye of who?,Thomas Mawson,person,Original,5ae6828f5542996d980e7bb9_12
How many consonants are there in the last name of the person who directed and wrote the 2016 film featuring the voice of Townsend Coleman?,6,number,"Commonsense, Arithmetic",5ae457a95542996836b02c85_4
Who directed and wrote the 2016 film featuring the voice of Townsend Coleman?,Garth Jennings,person,Original,5ae457a95542996836b02c85_4
"What is the sum of the (unique) prime factors of the year when The actress that plays Kaylee Frye in the series ""Firefly"" also stars with Alan Dale in a sci-fi tv film released in?",2011,number,Arithmetic,5ab3eeb5554299233954fff4_1
"The actress that plays Kaylee Frye in the series ""Firefly"" also stars with Alan Dale in a sci-fi tv film released in what year?",2011,year,Original,5ab3eeb5554299233954fff4_1
What is the sum of the (unique) prime factors of the birth year of the player who Charles Barkley changed his jersey number to #32 in honor of?,656,number,Arithmetic,5ae835f25542997ec272776f_1
Charles Barkley changed his jersey number to #32 in honor of a player born in which year ?,1959,year,Original,5ae835f25542997ec272776f_1
What is the combined length of the first name and last name of the author of the play that was adapted into a film and featured the orchestral arrangement Suite from Henry V?,18,number,"Commonsense, Arithmetic",5a81dacc55429926c1cdada0_8
Who is the author of the play that was adapted into a film and featured the orchestral arrangement Suite from Henry V?,William Shakespeare,person,Original,5a81dacc55429926c1cdada0_8
"What is the combined length of the first name and last name of the role the actor who played Colonel Sherman T. Potter in ""M*A*S*H"" played in ""Kentucky Jones""?",13,number,"Commonsense, Arithmetic",5ac23f9555429951e9e684db_8
"What role did the actor who played Colonel Sherman T. Potter in ""M*A*S*H"" play in ""Kentucky Jones""",Seldom Jackson,person,Original,5ac23f9555429951e9e684db_8
"What is the alphabetical order of the letters in the first name of the role the actor who played Colonel Sherman T. Potter in ""M*A*S*H"" played in ""Kentucky Jones""?",delmos,string,"Symbolic, Commonsense",5ac23f9555429951e9e684db_15
What is the closest palindrome number to the year the brother of this first round draft pick by the Washington Redskins was drafted?,2002,number,"Commonsense, Arithmetic",5ae738f75542991bbc9761c4_3
What year was the brother of this first round draft pick by the Washington Redskins drafted?,2003,year,Original,5ae738f75542991bbc9761c4_3
What is the closest palindrome number to the year until when Tefik Selim Mborja was a part of a party that held power in Albania?,1991,number,"Commonsense, Arithmetic",5a7997a2554299029c4b5f59_3
Tefik Selim Mborja was a part of a party that held power in Albania until what year? ,1943,year,Original,5a7997a2554299029c4b5f59_3
What is the result of substracting 3 from the reverse of the year of birth of the man who conducted the experiment Operation light house with Wernher von Braun?,5978,number,"Symbolic, Arithmetic",5ab42b24554299753aec5a43_7
Operation light house was an experiment by Wernher von Braun and another man born in what year?,1895,year,Original,5ab42b24554299753aec5a43_7
"What is the result of substracting 8 from the reverse of the birth year of The star of ""Lady in a Cage""?",6183,number,"Symbolic, Arithmetic",5a7d158155429909bec76947_7
"The star of ""Lady in a Cage"" was born in what year?",1916,year,Original,5a7d158155429909bec76947_7
What is the result of substracting 4 from the reverse of the death of the serial killer in The 2015 Austrian thriller film Jack?,4987,number,"Symbolic, Arithmetic",5ae759b25542991e8301cc6b_7
The 2015 Austrian thriller film Jack tells the story of a serial killer who died in what year?,1994,year,Original,5ae759b25542991e8301cc6b_7
What is the difference between the birth year of the mathematician husband of Anneli Cahn Lax  and the year 2024?,98,number,Arithmetic,5ae27f22554299495565da8d_2
In what year was the mathematician husband of Anneli Cahn Lax born?,1926,year,Original,5ae27f22554299495565da8d_2
What is the difference between the year of birth of the actor who appeared on Charlotte's Shorts and Weeds and the year 2024?,58,number,Arithmetic,5ae1f5a15542997f29b3c1b5_2
The actor who appeared on Charlotte's Shorts and Weeds was born in what year?,1966,year,Original,5ae1f5a15542997f29b3c1b5_2
What is the difference between the year of birth of the playwriter of Three Men on a Horse and the year 2024?,137,number,Arithmetic,5ab659e355429954757d324e_2
hree Men on a Horse is a play by a playwright born in which year ?,1887,year,Original,5ab659e355429954757d324e_2
"What is the sum of the digits of the year the year of birth of a ""holistic health"" practitioner who invented an promoted Rejuvelac?",19,number,Arithmetic,5aba9e2455429939ce03dd3a_0
"Rejuvelac is kind of grain water invented and promoted by a ""holistic health"" practitioner born in which year ?",1909,year,Original,5aba9e2455429939ce03dd3a_0
"What is the sum of the digits of the year the year when Marvel Classics Comics specialized in adaptations of literary classics, such as a novel by American writer Herman Melville, that was published?",15,number,Arithmetic,5ade811e5542992fa25da7a0_0
"Marvel Classics Comics specialized in adaptations of literary classics, such as a novel by American writer Herman Melville, that was published in what year?",1851,year,Original,5ade811e5542992fa25da7a0_0
"How many times does the letter ""o"" appear in the first name of the former member of Beatles married the starring actress of The Black Belly of the Tarantula ?",1,number,"Commonsense, Arithmetic",5ae686535542996d980e7bdc_5
The Black Belly of the Tarantula starred an actress who married what former member of the Beatles?,Ringo Starr,person,Original,5ae686535542996d980e7bdc_5
"How many times does the letter ""s"" appear in the first name of the person who designed and built the park which links Salisbury Woodland Gardens with a zoo?",1,number,"Commonsense, Arithmetic",5ae6828f5542996d980e7bb9_5
"What the concatenation of the first and last digits of the year of birth of a ""holistic health"" practitioner who invented an promoted Rejuvelac?",19,number,Symbolic,5aba9e2455429939ce03dd3a_6
"What the concatenation of the first and last digits of the birth year of The star of ""Lady in a Cage""?",16,number,Symbolic,5a7d158155429909bec76947_6
"What the concatenation of the first and last digits of the year when Marvel Classics Comics specialized in adaptations of literary classics, such as a novel by American writer Herman Melville, that was published?",11,number,Symbolic,5ade811e5542992fa25da7a0_6
"What is the result of adding 9 to the reverse of the year when the actor who starred in the TV Land original series ""The Soul Man"" hosted the Black Movie Awards?",5011,number,"Symbolic, Arithmetic",5abd9c2355429924427fd06c_7
"In what year did the actor who starred in the TV Land original series ""The Soul Man"" host the Black Movie Awards?",2005,year,Original,5abd9c2355429924427fd06c_7
"What is the result of adding 8 to the reverse of the year when The actress that plays Kaylee Frye in the series ""Firefly"" also stars with Alan Dale in a sci-fi tv film released in?",1110,number,"Symbolic, Arithmetic",5ab3eeb5554299233954fff4_7
"What is the result of adding 7 to the reverse of the year of birth of a ""holistic health"" practitioner who invented an promoted Rejuvelac?",9098,number,"Symbolic, Arithmetic",5aba9e2455429939ce03dd3a_7
How many fewer letters does the last name of Mable Nelson have compared to the first name of the husband of Kalanipauahi's niece?,1,number,"Commonsense, Arithmetic",5a7dff595542997cc2c474eb_18
Who was the husband of Kalanipauahi's niece?,Charles Reed Bishop,person,Original,5a7dff595542997cc2c474eb_18
What is the result of multiplying 4 by the reverse of the year of birth of the actress who created The Dogwoman telemovies?,6764,number,"Symbolic, Arithmetic",5ab4107a554299753aec5a2f_7
The Dogwoman telemovies were created by an actress born in what year?,1961,year,Original,5ab4107a554299753aec5a2f_7
What is the result of multiplying 8 by the reverse of the year of birth of the author whose short stories is collected in Rock Springs?,35928,number,"Symbolic, Arithmetic",5a7c6bcc55429935c91b519c_7
Rock Springs is a collection of short stories by an author born in what year?,1944,year,Original,5a7c6bcc55429935c91b519c_7
What is the year 9 years before the year when the largest convention center in the U.S. state of Georgia opened?,1967,number,"Commonsense, Arithmetic",5a732aa055429901807daf9f_4
What year did the largest convention center in the U.S. state of Georgia open?,1976,year,Original,5a732aa055429901807daf9f_4
"What is the year 7 years before the year of birth of the actress who was starred in ""Streak"" with Rumer Willis?",1979,number,"Commonsense, Arithmetic",5ae531a95542990ba0bbb1fc_4
"In what year was the actress who was starred in ""Streak"" with Rumer Willis born?",1986,year,Original,5ae531a95542990ba0bbb1fc_4
"What is the date 3 months after the birthdate of the director of an American short slasher film with French-speaking serial killers that was released on October 31, 2011?",1986-09-11,date,"Commonsense, Arithmetic",5a77ba6c55429967ab10524c_6
"When was the director of an American short slasher film with French-speaking serial killers that was released on October 31, 2011 born?","June 11, 1986",date,Original,5a77ba6c55429967ab10524c_6
"What is the date 9 months after the birth date of the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush""?",1936-10-07,date,"Commonsense, Arithmetic",5ae63dad55429929b0807afe_6
"When was the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush"" was based born? ",7 January 1936,date,Original,5ae63dad55429929b0807afe_6
What is the date 8 months after the birthdate of the father of Princess Mafalda of Savoy?,1870-07-11,date,"Commonsense, Arithmetic",5a74f7f15542993748c89765_6
When was the father of Princess Mafalda of Savoy born ?,11 November 1869,date,Original,5a74f7f15542993748c89765_6
How many distinct two-letter combinations exist in the last name of the producer of the 1994 American animated epic musical film which Mel Shaw animated?,4,number,"Commonsense, Arithmetic",5ae65c925542992ae0d162f9_10
Who was the producer of the 1994 American animated epic musical film which Mel Shaw animated?,Don Hahn,person,Original,5ae65c925542992ae0d162f9_10
How many distinct two-letter combinations exist in the last name of the character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas?,10,number,"Commonsense, Arithmetic",5a7741775542994aec3b724f_10
What is the name of the character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas?,Aubrey Posen,person,Original,5a7741775542994aec3b724f_10
What is the reverse order of the year of birth of The character Jack from While You Were Sleeping?,3591,number,Symbolic,5ab6c5be55429954757d336c_5
The character Jack from While You Were Sleeping was born in what year?,1953,year,Original,5ab6c5be55429954757d336c_5
"What is the reverse order of the year of death of the Danish plant ecologist who assisted a Danish chemist, famous for the introduction of the concept of pH die?",4791,number,Symbolic,5a7ce50f55429909bec76869_5
"In what year did the Danish plant ecologist who assisted a Danish chemist, famous for the introduction of the concept of pH die?",1974,year,Original,5a7ce50f55429909bec76869_5
What is the reverse order of the year when the largest convention center in the U.S. state of Georgia opened?,6791,number,Symbolic,5a732aa055429901807daf9f_5
"How many syllables are there in the first name of the person who created the 2003 remake of the 1983 overhead view, vehicular combat game developed by Bally Midway?",2,number,"Commonsense, Arithmetic",5ae638865542992ae0d1628c_9
"Who created the 2003 remake of the 1983 overhead view, vehicular combat game developed by Bally Midway?",Adam Dawes,person,Original,5ae638865542992ae0d1628c_9
What is the cube of the sum of the digits of the year when the largest convention center in the U.S. state of Georgia opened?,12167.0,number,Arithmetic,5a732aa055429901807daf9f_0
"What is the cube of the sum of the digits of the year of birth of the actress who was starred in ""Streak"" with Rumer Willis?",13824.0,number,Arithmetic,5ae531a95542990ba0bbb1fc_0
What is the cube of the sum of the digits of the year Christopher Nolan's magic-themed drama came out?,512.0,number,Arithmetic,5a77a41a5542997042120ab9_0
What year did Christopher Nolan's magic-themed drama come out?,2006,year,Original,5a77a41a5542997042120ab9_0
What the concatenation of the second and third digits of the year of birth of the actor who appeared on Charlotte's Shorts and Weeds?,96,number,Symbolic,5ae1f5a15542997f29b3c1b5_6
"What the concatenation of the second and third digits of the year when the follow up of Lawerence Turman's film, with a character named ""Johnny 5"" was released?",98,number,Symbolic,5ab40e1c5542996a3a969f00_6
"Lawerence Turman had produced a film, with a character named ""Johnny 5"" that had a follow up sequel released in what year?",1988,year,Original,5ab40e1c5542996a3a969f00_6
"How many days lay between Tuesday, 22 December 1981 and the release date of U2 album song An Cat Dubh / Into the Heart?",427,number,"Commonsense, Arithmetic",5ac3b0885542995ef918c1f8_1
An Cat Dubh / Into the Heart is a song from the U2 album released on what date?,20 October 1980,date,Original,5ac3b0885542995ef918c1f8_1
"How many days lay between the date when the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump was born and August 03, 2028?",28979,number,"Commonsense, Arithmetic",5ae5736e5542990ba0bbb2b3_1
"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?","April 1, 1949",date,Original,5ae5736e5542990ba0bbb2b3_1
"How many days lay between the date when the Disney sitcom in which Genevieve Knight ""G"" Hannelius starred as Avery Jennings ended and Wednesday, August 24 1977?",13930,number,"Commonsense, Arithmetic",5a84b4005542991dd0999d99_1
"When did the Disney sitcom in which Genevieve Knight ""G"" Hannelius starred as Avery Jennings end?","October 16, 2015",date,Original,5a84b4005542991dd0999d99_1
"What is the year following the year when the American healthy lifestyle magazine, in which Georgia Rickard contributed, was started?",1951,number,"Commonsense, Arithmetic",5ac52f455542996feb3fea12_4
"What year was the American healthy lifestyle magazine, in which Georgia Rickard contributed, started?",1950,year,Original,5ac52f455542996feb3fea12_4
"What is the total number of letters in the first name of the screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",5,number,"Commonsense, Arithmetic",5a877e5d5542993e715abf7d_6
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,person,Original,5a877e5d5542993e715abf7d_6
What is the total number of letters in the first name of the person who Billy Howle will be seen opposite in the upcoming British drama film directed by Dominic Cooke?,7,number,"Commonsense, Arithmetic",5add2b435542990d50227e11_6
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,person,Original,5add2b435542990d50227e11_6
What is the binary code of the last letter of the last name of the producer of the 1994 American animated epic musical film which Mel Shaw animated?,1101110,string,"Symbolic, Commonsense",5ae65c925542992ae0d162f9_2
What is the binary code of the last letter of the last name of the american film actor by who Stephen susco wrote a movie produced?,1101001,string,"Symbolic, Commonsense",5abbc58455429931dba14502_2
Stephen susco wrote a movie produced by which american film actor?,Sam Raimi,person,Original,5abbc58455429931dba14502_2
"What is the date one month before the birth date of the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush""?",1935-12-07,date,"Commonsense, Arithmetic",5ae63dad55429929b0807afe_7
What is the date one month before the birthdate of the father of Princess Mafalda of Savoy?,1869-10-11,date,"Commonsense, Arithmetic",5a74f7f15542993748c89765_7
"What is the total number of letters in the last name of the psychologist who wrote about the disciple of the person known as the ""Wild Woman of Buttle""?",7,number,"Commonsense, Arithmetic",5ae20e265542994d89d5b325_6
"Who is the psychologist who wrote about the disciple of the person known as the ""Wild Woman of Buttle""?",James G. Kiernan,person,Original,5ae20e265542994d89d5b325_6
What is the total number of letters in the last name of the husband of Kalanipauahi's niece?,6,number,"Commonsense, Arithmetic",5a7dff595542997cc2c474eb_6
"What is the reverse order of the letters in the first name of the role the actor who played Colonel Sherman T. Potter in ""M*A*S*H"" played in ""Kentucky Jones""?",modles,string,"Symbolic, Commonsense",5ac23f9555429951e9e684db_14
"How many unique letters are there in the first name of the daughter of the Irish entertainer in the girl band Maxi, Dick and Twink?",5,number,"Commonsense, Arithmetic",5a722fae55429971e9dc9343_7
"What is the name of the daughter of the Irish entertainer in the girl band Maxi, Dick and Twink?",Chloë Alexandra Adele Emily Agnew,person,Original,5a722fae55429971e9dc9343_7
"How many unique letters are there in the first name of the character in ""Father Ted"" that was played by an actor who starred in Death in Paradise?",6,number,"Commonsense, Arithmetic",5adfcb5455429906c02daa48_7
"What character in ""Father Ted"" was played by an actor who starred in Death in Paradise?",Father Dougal McGuire,person,Original,5adfcb5455429906c02daa48_7
"What is the ASCII code of the last letter of the first name of the current drummer of the band who did the song ""What Lovers Do""?",116,number,"Symbolic, Commonsense",5ae5072e55429960a22e0246_1
"Who is the current drummer of the band who did the song ""What Lovers Do""?",Matt Flynn,person,Original,5ae5072e55429960a22e0246_1
What is the ASCII code of the last letter of the first name of the person who designed and built the park which links Salisbury Woodland Gardens with a zoo?,115,number,"Symbolic, Commonsense",5ae6828f5542996d980e7bb9_1
How many repeated letters are there in the last name of the husband of Kalanipauahi's niece?,0,number,"Commonsense, Arithmetic",5a7dff595542997cc2c474eb_13
What is the year before the birth year of the person who wrote and illustrated a Japanese manga series based on a 16 year old high school student Ichitaka Seto?,1961,number,"Commonsense, Arithmetic",5a79311755429970f5fffe67_4
"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",1962,year,Original,5a79311755429970f5fffe67_4
"What is the year before the year this division, where Cleveland Browns placed fourth in 2009, adopted its current name?",2001,number,"Commonsense, Arithmetic",5ab47cd75542991751b4d78d_4
"In which year did this division, where Cleveland Browns placed fourth in 2009, adopt its current name?",2002,year,Original,5ab47cd75542991751b4d78d_4
What is the year before the year of birth of the playwriter of Three Men on a Horse?,1886,number,"Commonsense, Arithmetic",5ab659e355429954757d324e_4
How many repeated letters are there in the first name of the director of a 2004 film where Kam Heskin plays Paige Morgan in?,1,number,"Commonsense, Arithmetic",5ae789615542997ec2727695_13
What is the last letter of the last name of the producer of the 1994 American animated epic musical film which Mel Shaw animated?,n,letter,"Symbolic, Commonsense",5ae65c925542992ae0d162f9_0
What is the ASCII code of the first letter of the first name of the director of a 1977 film which shares a name with The third solo album by David Gates of Bread  in lowercase?,104,number,"Symbolic, Commonsense",5ab5744e554299494045efdf_1
The third solo album by David Gates of Bread shares a name with a 1977 film directed by who?,Herbert Ross,person,Original,5ab5744e554299494045efdf_1
"What is the ASCII code of the first letter of the first name of the character in ""Father Ted"" that was played by an actor who starred in Death in Paradise in lowercase?",102,number,"Symbolic, Commonsense",5adfcb5455429906c02daa48_1
How many additional letters does the first name of Alexander Flores have compared to the last name of the former member of Beatles married the starring actress of The Black Belly of the Tarantula ?,4,number,"Commonsense, Arithmetic",5ae686535542996d980e7bdc_18
"Which day of the week was the release date of the professional wrestling video game in which Mark Henry will appear as ""legend""?",Tuesday,string,"Commonsense, Arithmetic",5ae5305b5542990ba0bbb1f5_0
"When would be the professional wrestling video game release in which Mark Henry will appear as ""legend""?","October 17, 2017",date,Original,5ae5305b5542990ba0bbb1f5_0
