Question,LLM Response
"Who is the current drummer of the band who did the song ""What Lovers Do""?",Matt Flynn
"What role did the actor who played Colonel Sherman T. Potter in ""M*A*S*H"" play in ""Kentucky Jones""",Kentucky Jones
Who is the father of the director of the film The Cup (1999 Film)?,Thinley Norbu
"Who is the paternal grandfather of Euphemia Ii, Countess Of Ross?",Walter Leslie
Who is the paternal grandfather of Chiang Hsiao-Wu?,Chiang Kai-shek
"Who is Victoria Sackville-West, Baroness Sackville's child-in-law?",Vita Sackville-West
What year was the publisher of Eye To The Telescope (Magazine) founded?,1978
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan
"""Lost!"" is a song by a British rock band formed in what year?",1996
What was the publisher of Hürriyet Daily News founded?,1961
What year was the publisher of The Rip Off Review Of Western Culture founded?,1969
What year did the largest convention center in the U.S. state of Georgia open?,1976
Who is Alfonso Jordan's maternal grandmother?,Garsenda of Forcalquier
When did Eduardo Frei Ruiz-Tagle's father die?,1982
Who created the NBC sitcom that Johnny Pemberton appears in as the character Bo Thompson?,Justin Spitzer
"What character in ""Father Ted"" was played by an actor who starred in Death in Paradise?",Father Dougal McGuire
Who is the paternal grandfather of Ollom Fotla?,Ollom Fotla
When was Duchess Marie Gabrielle In Bavaria's mother born?,1846-07-04
What was the publisher of Hürriyet Daily News founded?,1961
Charles Barkley changed his jersey number to #32 in honor of a player born in which year ?,1946
What year was the publisher of Qst founded?,1914
Who is the father of the director of Little Joe (Film)?,Josef Hausner
"Who is Hugh Cholmondeley, 1St Earl Of Cholmondeley's paternal grandmother?",Mary Cholmondeley
Where was the author of Hannibal and Scipio educated at?,Oxford University
What year was the publisher of Qst founded?,1914
"In what year did the actor who starred in the TV Land original series ""The Soul Man"" host the Black Movie Awards?",2006
When is Susanne Porsche's husband's birthday?,1952-07-21
Who is Sun Luyu's paternal grandfather?,Sun Jian
Who is the mother of the director of the film Brenda Brave?,Ingrid Bergman
What year was the publisher of National Contest Journal founded?,1935
Who is the father of the director of the film My 20Th Century?,György Enyedi
"Who is Hugh Cholmondeley, 1St Earl Of Cholmondeley's paternal grandmother?",Mary Cholmondeley
"Who is Edward Wingfield, 2Nd Viscount Powerscourt's paternal grandmother?",Eleanor Archer
Who is the father-in-law of Ove Aunli?,Israel Kristiansen
Who is the spouse of the director of the film På Solsiden?,Gunnar Sønstevold
When is the founder of Suez Canal Company 's birthday?,1805-11-19
Who is the spouse of the longest reigning British monarch?,Prince Philip
Who is the spouse of the director of film Sorority House (Film)?,Ruth Gordon
What nationality is the director of film Roses From The South (1954 Film)?,German
Who is the father of the director of the film American Woman (2018 Film)?,Ridley Scott
Who is the paternal grandfather of Ahmose-Henutemipet?,Seqenenre Tao
